obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
313,5/4/2021 5:00,8.543,92.6,1020.95,0,1.2,7.4
314,5/4/2021 5:30,8.344,92.8,1020.85,0,1.2,7.3
315,5/4/2021 6:00,8.519,92.7,1021.15,0,8.7,7.4
316,5/4/2021 6:30,8.668,92.3,1021.15,0,66.2,7.5
317,5/4/2021 7:00,8.618,92.1,1021.25,0,98.7,7.4
318,5/4/2021 7:30,8.643,92,1021.35,0,408.7,7.4
319,5/4/2021 8:00,9.064,91.7,1021.65,0,408.7,7.8
320,5/4/2021 8:30,9.336,90.9,1021.85,0,428.7,7.9
321,5/4/2021 9:00,9.879,89.7,1021.85,0,1036.2,8.3
322,5/4/2021 9:30,10.222,89,1021.85,0,623.7,8.5
323,5/4/2021 10:00,10.761,88.2,1021.95,0,1023.7,8.9
324,5/4/2021 10:30,10.687,88,1022.05,0,866.2,8.8
325,5/4/2021 11:00,10.687,88.3,1022.45,0,876.2,8.8
326,5/4/2021 11:30,10.883,87.4,1022.65,0,1121.2,8.9
327,5/4/2021 12:00,11.807,86.2,1022.75,0,1686.2,9.6
328,5/4/2021 12:30,11.759,85.7,1023.15,0,746.2,9.5
329,5/4/2021 13:00,12.243,85.3,1023.05,0,2116.2,9.9
330,5/4/2021 13:30,12.098,84.5,1023.25,0,773.7,9.6
331,5/4/2021 14:00,10.932,87.7,1023.45,0,301.2,9
332,5/4/2021 14:30,11.248,88,1023.55,0,666.2,9.3
333,5/4/2021 15:00,11.37,85.4,1023.55,0,891.2,9
334,5/4/2021 15:30,13.473,81.9,1023.45,0,1503.7,10.5
335,5/4/2021 16:00,12.92,79.5,1023.35,0,1366.2,9.5
336,5/4/2021 16:30,13.546,80.5,1023.05,0,1241.2,10.3
337,5/4/2021 17:00,13.978,77.2,1023.05,0.2,1106.2,10.1
338,5/4/2021 17:30,13.546,79.4,1023.05,0,948.7,10.1
339,5/4/2021 18:00,14.026,76.4,1022.45,0,786.2,10
340,5/4/2021 18:30,12.654,78.6,1022.75,0,613.7,9
341,5/4/2021 19:00,11.248,81.2,1022.55,0,416.2,8.2
342,5/4/2021 19:30,11.613,81.2,1021.95,0,203.7,8.5
343,5/4/2021 20:00,11.807,79.9,1021.95,0,98.7,8.5
344,5/4/2021 20:30,9.903,82.9,1021.95,0,16.2,7.1
345,5/4/2021 21:00,9.064,83.8,1022.05,0,1.2,6.5
346,5/4/2021 21:30,8.195,83.4,1022.15,0,1.2,5.6
347,5/4/2021 22:00,7.519,86.4,1022.15,0,1.2,5.4
348,5/4/2021 22:30,6.813,88.2,1021.95,0,1.2,5
349,5/4/2021 23:00,6.636,88.7,1021.85,0,1.2,4.9
350,5/4/2021 23:30,6.687,88.7,1021.95,0,1.2,5
351,5/5/2021 0:00,6.331,88.7,1021.55,0,1.2,4.6
352,5/5/2021 0:30,6.281,88.4,1021.05,0,1.2,4.5
353,5/5/2021 1:00,5.949,89.4,1020.85,0,1.2,4.3
354,5/5/2021 1:30,5.796,90.6,1020.65,0,1.2,4.4
355,5/5/2021 2:00,6.051,90,1019.85,0,1.2,4.5
356,5/5/2021 2:30,6.611,90.3,1019.65,0,1.2,5.1
357,5/5/2021 3:00,5.847,90.6,1019.35,0,1.2,4.4
358,5/5/2021 3:30,5.796,90.8,1019.15,0,1.2,4.4
359,5/5/2021 4:00,7.041,92.5,1018.35,0,1.2,5.9
360,5/5/2021 4:30,7.745,92.7,1017.95,0,1.2,6.6
361,5/5/2021 5:00,7.845,92.4,1017.35,0,1.2,6.7
362,5/5/2021 5:30,7.72,92.1,1016.85,0,1.2,6.5
363,5/5/2021 6:00,7.92,91.2,1016.35,0,3.7,6.6
364,5/5/2021 6:30,8.02,90.3,1016.05,0,38.7,6.5
365,5/5/2021 7:00,8.12,90.5,1016.35,0,108.7,6.7
366,5/5/2021 7:30,9.386,86.6,1016.15,0,226.2,7.3
367,5/5/2021 8:00,8.668,89.3,1015.85,0,266.2,7
368,5/5/2021 8:30,9.756,88.8,1015.75,0,703.7,8
369,5/5/2021 9:00,9.756,87.8,1015.45,0,408.7,7.8
370,5/5/2021 9:30,9.41,88.9,1015.05,0,376.2,7.7
371,5/5/2021 10:00,9.903,88.1,1014.15,0,551.2,8
372,5/5/2021 10:30,10.638,84.7,1013.15,0,573.7,8.2
373,5/5/2021 11:00,9.903,87.9,1012.95,0,553.7,8
374,5/5/2021 11:30,10.932,86,1013.25,0,828.7,8.7
375,5/5/2021 12:00,11.078,85.4,1012.95,0,786.2,8.7
376,5/5/2021 12:30,12.05,82.3,1012.95,0,1151.2,9.1
377,5/5/2021 13:00,12.582,78.9,1012.45,0,1071.2,9
378,5/5/2021 13:30,11.613,82,1012.65,0,651.2,8.7
379,5/5/2021 14:00,11.953,81.6,1012.45,0,573.7,8.9
380,5/5/2021 14:30,13.834,74.5,1011.55,0,1528.7,9.4
